State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0,0,0,0,0,0,0.11,0.14,1268.62,0.01,0,333.33,9.25,18.09,1956.03,0.01,0,285.71,0,0,1000,258.46,259.45,1003.82,26.24,10.69,407.16,109.08,46.03,421.98,0.45,0.77,1722.94,1.8,0.49,273.92,4.7,2,425.21,0.29,0.12,395.19,0,0,0,4.6,1.16,252.72,0.01,0,0,77.4,25.02,323.3,0,0,0,19.85,3.59,181.06,0.45,0.13,297.85,0,0,0,0.08,0.19,0
Chhattisgarh,Bastar,660.36,801.82,1214.23,1.24,2.22,1783.13,0,0,0,0,0,0,1.49,1.79,1202.96,0,0,0,41.94,120.22,2866.36,6.3,1.44,229.02,0,0,0,1.39,1.29,925.85,1.64,0.66,400,40.68,15.07,370.54,0.06,0.08,1410.71,2.7,0.76,281.79,2.82,1.24,440.85,0,0,0,0,0,0,0.4,0.1,257.5,0.08,0,48.19,0.02,0.01,380.95,0,0,0,0.72,0.11,152.5,0,0,0,0,0,0,0.19,0.2,0
Chhattisgarh,Raipur,959.01,1520.95,1585.96,14.56,23.66,1625.61,0,0,0,0,0,0,0.02,0.02,1000,0,0,0,6.13,13.67,2228.27,0.19,0.04,229.17,0,0,0,31.38,34.48,1098.73,2.28,0.58,252.74,75.44,36.64,485.62,4.87,5.34,1097.62,1.52,0.43,283.45,3.85,1.7,442.65,0.05,0.02,320.75,0,0,333.33,0.41,0.08,204.38,0.14,0,0,0.15,0.09,558.44,0,0,0,0.27,0.05,174.91,0.03,0.01,360,0,0,0,0.51,0.65,0
Chhattisgarh,Bilaspur,727.94,1295.71,1779.97,15.8,21.72,1374.7,0,0,0,0,0,0,0.66,0.9,1373.28,0.02,0.01,437.5,7.61,15.83,2080.79,0,0,0,0.18,0.18,983.33,39.08,32.29,826.39,7.14,2.84,398.04,90.31,66.45,735.72,2.38,3.58,1504.8,2.54,0.73,289.36,4.44,1.68,377.81,0.11,0.03,292.04,0,0,333.33,1.63,0.39,238.66,0.3,0,0,13.94,5.17,371.22,0,0,0,7.57,0.83,109.36,0,0,0,0,0,0,0.6,0.79,0
Chhattisgarh,Raigarh,411.12,623.29,1516.07,3.91,6.76,1728.83,0,0,0,0,0,0,0.1,0.15,1604.17,0.03,0.01,433.33,6.29,15.81,2512.8,0.24,0.04,172.84,0,0,0,1.16,1.18,1010.3,6.77,2.93,432.14,41.72,13.07,313.14,10.18,14.52,1425.37,2.72,1.07,392.73,4.95,2.16,436.39,0.01,0,250,0,0,0,0.97,0.24,245.11,0.7,0,0,0,0,600,0,0,0,0.43,0.09,205.34,0,0,0,0,0,0,2.91,0.5,0
Chhattisgarh,Surguja,377.07,524.07,1389.84,23.18,37.09,1599.85,0,0,0,0,0,0,1.35,1.69,1250.37,0,0,0,48.4,123.33,2548.25,0.53,0.12,225.81,1.7,1.78,1048.26,3.55,2.99,841.73,19.17,8.06,420.29,34.98,12.75,364.62,7.47,7.83,1047.1,5.98,1.71,285.67,20.67,9.57,462.89,0,0,0,0,0,0,9.75,2.59,265.61,0.03,0,115.38,0.04,0.01,300,0,0,0,6,1.75,292.49,0,0,0,0,0,0,7.07,1.91,0
Madhya Pradesh,Jabalpur,210.2,526.17,2503.19,300.7,1037.13,3449.05,4.64,11.23,2420.26,0,0,0,4.64,11.23,2420.26,0,0,0,13.9,35.38,2545.32,0,0,0,0.3,0.48,1600,121.3,226.39,1866.36,21.39,23.45,1096.31,161.95,205.42,1268.42,0.16,0.14,875,9,4.75,527.78,17.9,13.35,745.81,0,0,0,0,0,0,4.5,2.98,662.22,0,0,0,8.7,5.78,664.37,0,0,0,3.37,1.79,529.97,0,0,0,2.41,17.72,20.14,6.43,3.52,0.48
Madhya Pradesh,Balaghat,220.21,395.48,1795.92,55.56,138.12,2485.96,0,0,0,0,0,0,0,0,0,0,0,0,10.04,29.37,2925.3,0,0,0,0.3,0.48,1600,61,91.2,1495.08,8.7,15.66,1800,46.47,37.21,800.73,0.03,0.03,1000,2,1.75,875,20.37,6.21,304.86,0.3,0.17,566.67,0.01,0,0,20.86,7.8,373.92,0,0,0,0.01,0.01,1000,0,0,0,3.7,1.91,515.14,0,0,0,0.19,3.17,3.36,0.95,0.45,0.16
Madhya Pradesh,Chhindwara,34.01,42.06,1236.7,181,619.2,3420.99,14,32.9,2350,0,0,0,14,32.9,2350,0,0,0,263.5,1326.45,5033.97,0,0,0,0,0,0,66,105.6,1600,38.9,46.68,1200,21.4,20.29,948.13,16.44,24.83,1510.34,2.5,1.75,700,3.5,5.95,1700,0,0,0,0,0,0,1.5,1.65,1100,0,0,0,28,49.95,1783.93,0,0,0,11,4.4,400,47.6,9.6,201.78,8.64,20.72,29.36,8.56,3.59,0.49
Madhya Pradesh,Narsinghpur,39.1,181.3,4636.83,92,320.71,3485.98,0.8,1.46,1825,0,0,0,0.8,1.46,1825,1,2.54,2540,5,8.84,1768,0,0,0,0,0,0,101.5,152.86,1506.01,62.5,103,1648,125.88,148.15,1176.91,0.02,0.04,2000,0.4,0.34,850,2.5,2.98,1192,0,0,0,0,0,0,0.01,0.01,1000,0,0,0,43.5,13.62,313.1,0,0,0,51.1,30.07,588.49,0,0,0,0.12,5.22,5.34,1.64,1.7,1.04
