STATE/UT,DISTRICT,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
West Bengal,24 PARGANAS NORTH,0,0,0,0,0,0,0,0,0,4
West Bengal,24 PARGANAS SOUTH,0,0,0,0,0,0,0,1,0,0
Andhra Pradesh,ADILABAD,2,3,0,0,0,0,8,15,0,42
Madhya Pradesh,AGAR,3,4,1,0,0,2,34,0,0,2
Uttar Pradesh,AGRA,5,8,9,0,0,0,12,0,0,87
Gujarat,AHMEDABAD COMMR.,3,11,14,2,2,0,11,23,0,22
Gujarat,AHMEDABAD RURAL,1,2,1,1,0,0,29,43,0,30
Maharashtra,AHMEDNAGAR,5,8,2,0,0,2,7,0,0,61
Gujarat,AHWA-DANG,0,0,0,0,0,0,0,0,0,0
Mizoram,AIZAWL,0,0,0,0,0,0,0,0,0,0
Rajasthan,AJMER,2,3,2,0,0,1,9,8,0,243
Maharashtra,AKOLA,0,3,1,1,0,0,2,7,0,18
Kerala,ALAPUZHA,0,0,0,0,0,0,14,14,0,6
Uttar Pradesh,ALIGARH,5,14,4,0,0,0,6,0,0,119
Madhya Pradesh,ALIRAJPUR,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,ALLAHABAD,9,15,6,0,0,1,18,0,0,185
Uttarakhand,ALMORA,0,0,0,0,0,0,0,2,0,0
Rajasthan,ALWAR,8,38,0,0,0,4,2,7,0,549
Haryana,AMBALA RURAL,0,0,0,0,0,0,0,0,0,5
Haryana,AMBALA URBAN,1,10,1,0,0,0,0,1,0,8
Uttar Pradesh,AMBEDKAR NAGAR,0,1,0,0,0,0,0,39,0,0
Uttar Pradesh,AMETHI,1,10,0,0,0,1,2,127,0,2
Maharashtra,AMRAVATI COMMR.,0,1,0,0,0,0,0,5,0,4
Maharashtra,AMRAVATI RURAL,0,5,0,0,0,0,2,12,2,18
Gujarat,AMRELI,1,1,0,0,0,0,3,2,0,19
Punjab,AMRITSAR RURAL,0,4,2,0,0,0,5,1,0,9
Uttar Pradesh,AMROHA,1,2,5,0,0,0,0,0,0,42
Gujarat,ANAND,1,1,2,0,0,3,3,21,0,18
Andhra Pradesh,ANANTAPUR,2,4,0,0,0,0,37,18,0,56
Jammu & Kashmir,ANANTNAG,0,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,1,0,0,0,0,0,42,59,0,0
Arunachal Pradesh,ANJAW,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,ANUPPUR,0,8,1,0,0,0,1,0,0,9
Bihar,ARARIA,0,0,0,0,0,2,1,70,0,0
Tamil Nadu,ARIYALUR,0,0,0,0,0,0,0,19,0,6
Bihar,ARWAL,1,0,0,0,0,0,0,29,0,29
West Bengal,ASANSOL,0,0,1,0,0,0,0,5,0,3
Madhya Pradesh,ASHOK NAGAR,0,7,0,0,1,1,26,0,0,22
Uttar Pradesh,AURAIYA,1,6,3,0,0,0,0,0,0,65
Bihar,AURANGABAD,2,3,0,0,0,5,2,173,0,0
Maharashtra,AURANGABAD COMMR.,0,3,1,1,0,0,1,1,0,3
Maharashtra,AURANGABAD RURAL,0,6,1,0,0,1,2,9,0,24
