District,Growth,Sex_Ratio,Literacy,Population
South Andaman,0.14,871,89.13,238142
Nicobars,-0.12,777,78.06,36842
Rangareddy,0.48,961,75.87,5296741
East Godavari,0.05,1006,70.99,5154296
Guntur,0.09,1003,67.4,4887813
Krishna,0.08,992,73.74,4517398
Visakhapatnam,0.12,1006,66.91,4290589
Chittoor,0.11,997,71.53,4174064
Anantapur,0.12,977,63.57,4081148
Kurnool,0.15,988,59.97,4053463
Mahbubnagar,0.15,977,55.04,4053028
Hyderabad,0.03,954,83.25,3943323
West Godavari,0.04,1004,74.63,3936966
Karimnagar,0.08,1008,64.15,3776269
Warangal,0.08,997,65.11,3512576
Nalgonda,0.07,983,64.2,3488809
Prakasam,0.11,981,63.08,3397448
Medak,0.14,992,61.42,3033288
Sri Potti Sriramulu Nellore,0.11,985,68.9,2963557
YSR,0.11,985,67.3,2882469
Khammam,0.08,1011,64.81,2797370
Adilabad,0.1,1001,61.01,2741239
Srikakulam,0.07,1015,61.74,2703114
Nizamabad,0.09,1040,61.25,2551335
Vizianagaram,0.04,1019,58.89,2344474
Papumpare,0.45,980,79.95,#N/A
Changlang,0.18,926,59.8,148226
Lohit,0.17,912,68.18,145726
West Siang,0.08,930,66.46,112274
Tirap,0.12,944,52.19,111975
East Siang,0.14,980,72.54,99214
Kurung Kumey,1.17,1032,48.75,92076
West Kameng,0.13,819,67.07,83947
Upper Subansiri,0.51,998,63.8,83448
Lower Subansiri,0.49,984,74.35,83030
East Kameng,0.38,1029,60.02,78690
Lower Dibang Valley,0.07,928,69.13,54080
Tawang,0.28,714,59,49977
Upper Siang,0.06,889,59.99,35320
Anjaw,0.14,839,56.46,21167
Dibang Valley,0.1,813,64.1,8004
Nagaon,0.22,962,72.37,2823768
Dhubri,0.24,953,58.34,1949258
Sonitpur,0.16,956,67.34,1924110
Cachar,0.2,959,79.34,1736617
Barpeta,0.21,953,63.81,1693622
Kamrup,0.16,949,75.55,1517542
Tinsukia,0.15,952,69.66,1327929
