District ,Zn %,Fe%,Cu %,Mn %,B %,S %
Anantapur,67.67,65.14,91.88,77.7,73.54,85.9
Chittoor,80.51,78.19,99.77,91.82,89.04,88.62
East Godavari,79.27,88.14,95.54,97.24,88.05,95.67
Guntur,58.3,71.16,98.86,91.4,86.15,86.81
Krishna,78.62,82.02,98.05,95.23,65.78,98.56
Kurnool,60.7,48.45,97.47,91.34,92.75,96.05
Prakasam,40.66,59.14,94.65,82.17,73.99,69.54
Nellore,39.58,55.37,80.72,79.83,77.23,87.61
Srikakulam,81.05,75.77,98.85,91.31,96.76,94.45
Visakhapatanam,58.7,64.93,96.44,78.35,85.4,88.29
Vizianagaram,61.6,93.71,95.22,98.34,79.43,87.59
West Godavari,67.36,87.69,96.54,96.76,87.74,88.24
Y.S.R.,68.61,67.42,92.82,92.72,71.8,86.46
Nicobars,71.52,98.79,93.03,99.7,100,0.3
North And Middle Andaman,93.36,100,83.19,100,90.78,0.23
South Andamans,80,99.59,81.28,98.68,99.34,0.5
Anjaw,65.1,99.89,81.62,91.86,,71.25
Changlang,0,100,66.67,100,,100
Dibang Valley,57.72,99.45,92.05,94.33,0,90.59
East Kameng,67.76,99.8,71.78,45.95,,7.96
East Siang,35.68,100,80.54,51.63,,99.46
Kra Daadi,44.44,88.89,25,100,33.33,66.67
Kurung Kumey,76.94,100,82.11,93.97,0,21.77
Lohit,67.3,98.07,86.61,87.35,100,39.16
Lower Dibang Valley,48.09,99.49,91.15,75.37,,69.45
Lower Subansiri,50,100,50,100,0,0
NAMSAI,100,100,100,90.91,,100
Papum Pare,63.77,91.62,84.68,50.74,0,15.61
Tawang,100,100,100,100,0,100
Tirap,84,100,90.67,65.88,,100
Upper Siang,45.23,99.84,91.82,66.12,100,96.44
Upper Subansiri,41.8,100,60.58,53.48,,0.26
West Kameng,93.44,100,80.33,91.26,,1.64
West Siang,43.52,97.98,89.57,76.11,,69.94
Baksa,65.1,98.14,99.63,90.41,2.99,88.56
Barpeta,89.47,97.73,99.66,95.84,29.56,85.47
Biswanath,93.58,99.98,99.55,99.47,0.92,98.41
Bongaigaon,99.79,99.53,99.96,87.64,0.92,99.63
Cachar,89.85,99.55,99.98,99.59,0.06,99.59
Charaideo,99.9,99.95,98.94,90.71,3.42,98.22
Chirang,99.96,99.91,100,93.21,1.65,99.78
Darrang,85.73,99.41,99.24,98.64,7.77,96.98
Dhemaji,99.7,99.49,99.94,87.86,3.99,98.04
Dhubri,98.36,99.98,99.98,99.17,0.06,99.86
Dibrugarh,97.05,98.14,99.88,90.46,4.51,99.04
Dima Hasao,100,100,100,100,0,100
Goalpara,71.28,99.6,99.97,99.68,1.41,96.49
Golaghat,97.42,99.91,99.98,99.77,0.48,99.52
Hailakandi,97,99.99,100,99.91,0,99.99
HOJAI,98.32,84,56.33,97.57,61.09,97.49
Jorhat,97.6,99.96,99.99,99.38,1.97,99.22
Kamrup,64.95,99.04,99.56,83.13,0.32,99.74
Kamrup Metro,99.88,99.97,100,99.94,0.15,99.94
Karbi Anglong,96,99.57,99.86,99.62,3.86,93.62
Karimganj,98.64,99.78,99.95,99.24,0.08,99.88
Kokrajhar,98.82,99.79,99.97,92.38,0.89,98.5
Lakhimpur,94.14,97.49,97.61,89.17,7.87,88.81
Majuli,52.57,99.89,100,93.19,0.17,98.34
Marigaon,88.15,99.68,99.1,96.26,0.39,96.56
Nagaon,99.68,99.69,98.98,88.74,4.43,99.8
Nalbari,90.4,99.98,100,99.91,0.23,99.88
Sivasagar,98.84,99.52,99.94,90.47,1.91,98.39
Sonitpur,99.85,99.9,99.97,95.47,0.08,99.92
SOUTH SALMARA MANCACHAR,98.55,99.96,100,99.71,0.04,99.96
